ETF名称 ETF代码 指数代码 指数名称
汽车ETF 516110 H30015 800汽车
钢铁ETF 515210 930606 中证钢铁
酒ETF 512690 399987 中证酒
证券ETF 159841 399975 证券公司
国防ETF 512670 399973 中证国防
计算机ETF 159998 930651 CS计算机
通信ETF 515880 931160 通信设备
新能车ETF 515700 930997 新能源车
5GETF 515050 931079 5G通信
央企ETF 510060 000042 上证央企
AI智能 159819 930713 CS人工智
长三角ETF 512650 931141 CS长三角
家电ETF 159996 930697 家用电器
生物医药ETF 512290 930726 CS生医
大湾区ETF 512970 931000 大湾区
医疗设备 159873 H30178 医疗保健
京津翼ETF 512780 930701 CS京津冀
芯片ETF 512760 990001 中华半导体芯片
房地产ETF 512200 H30165 房地产
银行ETF 159887 H30022 800银行
智能车 159888 930721 CS智汽车
传媒ETF 159805 399971 中证传媒
教育ETF 513360 931456 中国教育
游戏动漫ETF 516770 930901 动漫游戏
材料ETF 159944 000987 全指材料
煤炭ETF 515220 399998 中证煤炭
光伏ETF 159857 931151 光伏产业
稀土产业ETF 516150 930598 稀土产业

