date,open,high,low,close,volume,outstanding_share,turnover
1999-11-10,29.5,29.8,27.0,27.75,174085100.0,320000000.0,0.5440159375
1999-11-11,27.58,28.38,27.53,27.71,29403500.0,320000000.0,0.0918859375
1999-11-12,27.86,28.3,27.77,28.05,15008000.0,320000000.0,0.0469
1999-11-15,28.2,28.25,27.7,27.75,11921100.0,320000000.0,0.0372534375
1999-11-16,27.88,27.97,26.48,26.55,23223100.0,320000000.0,0.0725721875
1999-11-17,26.5,27.18,26.37,27.18,10052600.0,320000000.0,0.031414375
1999-11-18,27.2,27.58,26.78,27.02,8446500.0,320000000.0,0.0263953125
1999-11-19,27.5,27.53,26.8,26.88,5375000.0,320000000.0,0.016796875
1999-11-22,26.88,26.95,26.3,26.45,5535400.0,320000000.0,0.017298125
1999-11-23,26.45,26.55,26.1,26.45,3844000.0,320000000.0,0.0120125
1999-11-24,26.44,26.55,26.01,26.43,4098000.0,320000000.0,0.01280625
1999-11-25,26.3,26.66,26.02,26.4,5725300.0,320000000.0,0.0178915625
1999-11-26,26.43,26.66,26.15,26.45,2282700.0,320000000.0,0.0071334375
1999-11-29,26.45,26.83,26.22,26.33,2681200.0,320000000.0,0.00837875
1999-11-30,26.3,26.5,26.11,26.4,2371400.0,320000000.0,0.007410625
1999-12-01,26.31,26.9,26.21,26.6,2865100.0,320000000.0,0.0089534375
1999-12-02,26.52,26.72,26.22,26.26,1938500.0,320000000.0,0.0060578125
1999-12-03,26.25,26.65,26.2,26.36,2552600.0,320000000.0,0.007976875
1999-12-06,26.3,26.35,25.6,25.66,6984000.0,320000000.0,0.021825
1999-12-07,25.6,25.85,25.5,25.6,3955800.0,320000000.0,0.012361875
1999-12-08,25.6,25.76,25.5,25.53,2236500.0,320000000.0,0.0069890625
1999-12-09,25.5,25.55,25.3,25.36,2564600.0,320000000.0,0.008014375
1999-12-10,25.36,26.1,25.22,25.97,3553913.0,320000000.0,0.011105978125
1999-12-13,25.98,26.45,25.6,25.92,7058400.0,320000000.0,0.0220575
1999-12-14,25.7,26.0,25.7,26.0,1618500.0,320000000.0,0.0050578125
1999-12-15,26.0,26.9,25.9,26.45,6797900.0,320000000.0,0.0212434375
1999-12-16,26.5,26.5,25.95,26.0,3616200.0,320000000.0,0.011300625
1999-12-17,26.0,26.13,25.51,25.58,3565300.0,320000000.0,0.0111415625
1999-12-21,25.45,25.55,25.14,25.24,4215300.0,320000000.0,0.0131728125
1999-12-22,25.24,25.35,25.05,25.15,3083500.0,320000000.0,0.0096359375
1999-12-23,25.2,25.3,24.7,24.78,4161561.0,320000000.0,0.013004878125
1999-12-24,24.6,25.07,24.59,24.75,2832500.0,320000000.0,0.0088515625
1999-12-27,24.75,25.0,24.5,24.58,2233700.0,320000000.0,0.0069803125
1999-12-28,24.54,25.08,24.5,24.6,3176700.0,320000000.0,0.0099271875
1999-12-29,24.71,24.97,24.57,24.66,2284200.0,320000000.0,0.007138125
1999-12-30,24.9,24.99,24.65,24.75,2333200.0,320000000.0,0.00729125
2000-01-04,24.98,25.78,24.75,25.57,4496100.0,320000000.0,0.0140503125
2000-01-05,25.57,25.98,25.15,25.28,5252800.0,320000000.0,0.016415
2000-01-06,25.18,26.3,25.05,25.99,6229700.0,320000000.0,0.0194678125
2000-01-07,26.3,27.5,26.12,26.9,21355300.0,320000000.0,0.0667353125
2000-01-10,27.0,27.85,26.71,27.25,16539700.0,320000000.0,0.0516865625
2000-01-11,27.25,27.3,26.12,26.2,9390800.0,320000000.0,0.02934625
2000-01-12,26.0,26.0,24.8,25.12,35274900.0,400000000.0,0.08818725
2000-01-13,25.0,25.25,24.8,24.9,7975600.0,400000000.0,0.019939
