date,open,high,low,close,volume,peTTM,pbMRQ
1999-11-10,29.5000,29.8000,27.0000,27.7500,174085055,77.815386,17.418388
1999-11-11,27.5800,28.3800,27.5300,27.7100,29403491,77.703220,17.393280
1999-11-12,27.8600,28.3000,27.7700,28.0500,15007963,78.656634,17.606695
1999-11-15,28.2000,28.2500,27.7000,27.7500,11921071,77.815386,17.418388
1999-11-16,27.8800,27.9700,26.4800,26.5500,23223120,74.450397,16.665160
1999-11-17,26.5000,27.1800,26.3700,27.1800,10052566,76.217016,17.060605
1999-11-18,27.2000,27.5800,26.7800,27.0200,8446529,75.768351,16.960175
1999-11-19,27.5000,27.5300,26.8000,26.8800,5374994,75.375769,16.872298
1999-11-22,26.8800,26.9500,26.3000,26.4500,5535421,74.169981,16.602391
1999-11-23,26.4500,26.5500,26.1000,26.4500,3843966,74.169981,16.602391
1999-11-24,26.4400,26.5500,26.0100,26.4300,4098001,74.113898,16.589838
1999-11-25,26.3000,26.6600,26.0200,26.4000,5725292,74.029773,16.571007
1999-11-26,26.4300,26.6600,26.1500,26.4500,2282685,74.169981,16.602391
1999-11-29,26.4500,26.8300,26.2200,26.3300,2681243,73.833482,16.527069
1999-11-30,26.3000,26.5000,26.1100,26.4000,2371355,74.029773,16.571007
1999-12-01,26.3100,26.9000,26.2100,26.6000,2865195,74.590605,16.696545
1999-12-02,26.5200,26.7200,26.2200,26.2600,1938487,73.637191,16.483130
1999-12-03,26.2500,26.6500,26.2000,26.3600,2552574,73.917607,16.545899
1999-12-06,26.3000,26.3500,25.6000,25.6600,6983999,71.954696,16.106517
1999-12-07,25.6000,25.8500,25.5000,25.6000,3955769,71.786446,16.068855
1999-12-08,25.6000,25.7600,25.5000,25.5300,2236538,71.590155,16.024917
1999-12-09,25.5000,25.5500,25.3000,25.3600,2564635,71.113449,15.918210
1999-12-10,25.3600,26.1000,25.2200,25.9700,3553913,72.823985,16.301100
1999-12-13,25.9800,26.4500,25.6000,25.9200,7058409,72.683777,16.269716
1999-12-14,25.7000,26.0000,25.7000,26.0000,1618462,72.908110,16.319931
1999-12-15,26.0000,26.9000,25.9000,26.4500,6797886,74.169981,16.602391
1999-12-16,26.5000,26.5000,25.9500,26.0000,3616200,72.908110,16.319931
1999-12-17,26.0000,26.1300,25.5100,25.5800,3565329,71.730363,16.056301
1999-12-21,25.4500,25.5500,25.1400,25.2400,4215311,70.776950,15.842887
1999-12-22,25.2400,25.3500,25.0500,25.1500,3083548,70.524575,15.786395
1999-12-23,25.2000,25.3000,24.7000,24.7800,4161561,69.487037,15.554150
1999-12-24,24.6000,25.0700,24.5900,24.7500,2832485,69.402912,15.535319
1999-12-27,24.7500,25.0000,24.5000,24.5800,2233778,68.926205,15.428612
