基金代码,基金简称,最新净值(元),日增长率(%),最新净值日期,是否指数基金,跟踪指数,跟踪指数市盈率,跟踪指数市净率(倍),跟踪指数股息率(%),跟踪指数roe(%),近6个月收益率(%),折扣率
000008.OF,嘉实中证500etf联接a,1.94,0.76,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,9.09,0.10
000042.OF,中证财通中国可持续发展100指数增强a,2.06,-0.07,20210811.,指数基金,ESG 100全收益,14.86,1.47,2.20,5.20,0.41,0.50
000049.OF,中银标普全球资源等权重指数(qdii),1.40,0.87,20210810.,指数基金,--,--,--,--,--,8.11,0.10
000051.OF,华夏沪深300etf联接a,1.71,-0.51,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-11.27,0.10
000055.OF,广发纳斯达克100指数(美元)a,0.66,-0.54,20210810.,指数基金,纳斯达克100,--,--,0.59,--,11.12,--
000059.OF,国联安中证医药100a,1.41,-1.12,20210811.,指数基金,医药100,49.36,7.16,0.65,8.02,-4.44,0.10
000071.OF,华夏恒生etf联接a,1.43,0.20,20210811.,指数基金,恒生指数,--,--,2.65,4.89,-9.71,0.10
000075.OF,华夏恒生etf联接a(美元现汇),0.22,0.23,20210811.,指数基金,恒生指数,--,--,2.65,4.89,-10.36,--
000076.OF,华夏恒生etf联接a(美元现钞),0.22,0.23,20210811.,指数基金,恒生指数,--,--,2.65,4.89,-10.36,--
000087.OF,嘉实中证金边中期国债etf联接a,1.04,-0.06,20210811.,指数基金,中期国债,--,--,--,--,0.41,0.10
000088.OF,嘉实中证金边中期国债etf联接c,1.03,-0.06,20210811.,指数基金,中期国债,--,--,--,--,0.26,--
000176.OF,嘉实沪深300指数研究增强,2.00,-0.46,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-9.56,0.10
000179.OF,广发美国房地产指数(qdii)人民币,1.27,-0.94,20210810.,指数基金,--,--,--,--,--,19.89,0.10
000180.OF,广发美国房地产指数(qdii)美元,0.20,-0.91,20210810.,指数基金,--,--,--,--,--,18.99,--
000216.OF,华安黄金易etf联接a,1.31,-0.30,20210811.,指数基金,--,--,--,--,--,-5.25,0.10
000217.OF,华安黄金易etf联接c,1.30,-0.30,20210811.,指数基金,--,--,--,--,--,-5.42,--
000218.OF,国泰黄金etf联接a,1.34,-0.30,20210811.,指数基金,--,--,--,--,--,-5.36,0.10
000248.OF,汇添富中证主要消费etf联接a,2.97,-1.52,20210811.,指数基金,中证消费,37.04,8.01,1.22,11.77,-23.08,0.10
000307.OF,易方达黄金etf联接a,1.26,-0.29,20210811.,指数基金,--,--,--,--,--,-5.19,0.10
000311.OF,景顺长城沪深300指数增强,2.85,-0.42,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-9.51,0.10
000312.OF,华安沪深300量a,2.65,-0.19,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-6.98,0.10
000313.OF,华安沪深300量c,2.53,-0.19,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-7.16,--
000368.OF,汇添富沪深300安中指数,2.50,-0.43,20210811.,指数基金,安中动态,15.15,1.56,2.23,5.43,-4.98,0.10
000369.OF,广发全球医疗保健(qdii)(人民币),1.94,0.00,20210810.,指数基金,--,--,--,--,--,11.05,0.10
000370.OF,广发全球医疗保健(qdii)(美元),0.30,0.00,20210810.,指数基金,--,--,--,--,--,10.28,--
