code,total_capital,code_name,liqaShare,stock_value
sh.600000,346108661551.22003,浦发银行,21618279922.0,16.01
sh.600004,18433284620.88,白云机场,1156416852.0,15.94
sh.600006,13760000000.0,东风汽车,2000000000.0,6.88
sh.600007,20155723505.34,中国国贸,1007282534.0,20.01
sh.600008,20535816168.239998,首创环保,4820614124.0,4.26
sh.600009,32782422382.06,上海机场,1093476397.0,29.98
sh.600010,47698333198.74,包钢股份,15742024158.0,3.03
sh.600011,75285000000.0,华能国际,10500000000.0,7.17
sh.600012,19407240000.0,皖通高速,1165600000.0,16.65
sh.600015,120640110262.18999,华夏银行,10685572211.0,11.29
sh.600016,250599004037.12003,民生银行,29551769344.0,8.48
sh.600017,13225311718.4,日照港,3075653888.0,4.3
sh.600018,134255559935.00002,上港集团,22755179650.0,5.9
sh.600019,143719938867.75,宝钢股份,22076795525.0,6.51
sh.600020,11034595695.12,中原高速,2247371832.0,4.91
sh.600021,26361587646.24,上海电力,2139739257.0,12.32
sh.600022,22117207120.579998,山东钢铁,8222010082.0,2.69
sh.600023,77523932931.6,浙能电力,13600689988.0,5.7
sh.600026,19589995284.760002,中远海能,2736032861.0,7.16
sh.600027,34194412637.28,华电国际,6784605682.0,5.04
sh.600028,548501605804.04004,中国石化,95557771046.0,5.74
sh.600029,56602559000.0,南方航空,7022650000.0,8.06
sh.600030,158114199987.0,中信证券,9814661700.0,16.11
sh.600031,54674881185.6,三一重工,7593733498.0,7.2
sh.600033,10565940000.0,福建高速,2744400000.0,3.85
sh.600035,8473193116.190001,楚天高速,1453377893.0,5.83
sh.600036,395456864703.93005,招商银行,20628944429.0,19.17
sh.600037,17688849673.64,歌华有线,1168352026.0,15.14
sh.600038,29473835800.0,中直股份,589476716.0,50.0
sh.600039,15098663360.0,四川路桥,3019732672.0,5.0
sh.600048,102538415142.17,保利地产,10759539889.0,9.53
sh.600050,158338575070.65,中国联通,21196596395.0,7.47
sh.600051,3702155519.9999995,宁波联合,307488000.0,12.04
sh.600052,5544578625.12,浙江广厦,871789092.0,6.36
sh.600053,16864737120.0,九鼎投资,433540800.0,38.9
sh.600054,8880090000.0,黄山旅游,513300000.0,17.3
sh.600055,5804323200.000001,万东医疗,346320000.0,16.76
sh.600056,23926896552.96,中国医药,1012136064.0,23.64
sh.600057,12203657691.550001,厦门象屿,1104403411.0,11.05
sh.600058,15296165845.97,五矿发展,1071910711.0,14.27
sh.600059,8255031724.650001,古越龙山,808524165.0,10.21
sh.600060,23670425305.98,海信视像,1308481222.0,18.09
sh.600061,29513969434.559998,国投资本,1962364989.0,15.04
sh.600062,13520609170.199999,华润双鹤,571695948.0,23.65
sh.600063,7418152806.4,皖维高新,1520113280.0,4.88
