code,date,close
sh.600000,2021-07-30,9.0300
sh.600004,2021-07-30,8.7500
sh.600006,2021-07-30,8.9700
sh.600007,2021-07-30,15.2200
sh.600008,2021-07-30,3.1700
sh.600009,2021-07-30,38.5500
sh.600010,2021-07-30,2.8500
sh.600011,2021-07-30,3.8300
sh.600012,2021-07-30,5.6100
sh.600015,2021-07-30,5.4800
sh.600016,2021-07-30,3.9800
sh.600017,2021-07-30,2.5200
sh.600018,2021-07-30,4.9300
sh.600019,2021-07-30,7.9200
sh.600020,2021-07-30,3.0800
sh.600021,2021-07-30,6.7700
sh.600022,2021-07-30,2.0700
sh.600023,2021-07-30,3.2700
sh.600025,2021-07-30,5.2200
sh.600026,2021-07-30,5.0800
sh.600027,2021-07-30,3.1900
sh.600028,2021-07-30,3.9900
sh.600029,2021-07-30,5.3500
sh.600030,2021-07-30,22.5900
sh.600031,2021-07-30,24.8200
sh.600032,2021-07-30,10.0200
sh.600033,2021-07-30,2.5300
sh.600035,2021-07-30,2.7400
sh.600036,2021-07-30,46.5000
sh.600037,2021-07-30,8.2700
sh.600038,2021-07-30,51.0500
sh.600039,2021-07-30,6.0800
sh.600048,2021-07-30,10.0100
sh.600050,2021-07-30,4.1200
sh.600051,2021-07-30,6.2100
sh.600052,2021-07-30,3.5000
sh.600053,2021-07-30,14.4500
sh.600054,2021-07-30,8.2700
sh.600055,2021-07-30,23.3000
sh.600056,2021-07-30,10.8900
sh.600057,2021-07-30,7.2000
sh.600058,2021-07-30,8.8200
sh.600059,2021-07-30,10.9900
sh.600060,2021-07-30,13.0600
sh.600061,2021-07-30,7.4200
sh.600062,2021-07-30,11.1200
sh.600063,2021-07-30,5.4000
sh.600064,2021-07-30,8.0500
sh.600066,2021-07-30,11.3500
sh.600067,2021-07-30,3.6400
sh.600068,2021-07-30,8.3000
sh.600070,2021-07-30,8.0600
sh.600071,2021-07-30,13.2300
sh.600072,2021-07-30,10.8800
sh.600073,2021-07-30,7.4100
sh.600075,2021-07-30,8.0100
sh.600076,2021-07-30,3.7500
sh.600077,2021-07-30,2.3600
sh.600078,2021-07-30,3.7700
sh.600079,2021-07-30,23.6700
sh.600080,2021-07-30,6.6600
sh.600081,2021-07-30,14.6000
sh.600082,2021-07-30,2.5800
sh.600083,2021-07-30,5.7000
sh.600084,2021-07-30,3.2600
sh.600085,2021-07-30,34.2100
sh.600088,2021-07-30,9.2600
sh.600089,2021-07-30,15.1300
sh.600090,2021-07-30,1.4200
sh.600091,2021-07-30,2.5000
sh.600093,2021-07-30,2.5200
sh.600094,2021-07-30,3.4100
sh.600095,2021-07-30,9.6200
sh.600096,2021-07-30,15.2400
sh.600097,2021-07-30,8.6300
sh.600098,2021-07-30,6.2200
sh.600099,2021-07-30,6.5700
sh.600100,2021-07-30,5.5100
sh.600101,2021-07-30,5.2400
sh.600103,2021-07-30,2.3200
sh.600104,2021-07-30,18.3400
sh.600105,2021-07-30,3.5000
sh.600106,2021-07-30,2.4300
sh.600107,2021-07-30,5.1400
sh.600108,2021-07-30,3.1300
sh.600109,2021-07-30,10.7200
sh.600110,2021-07-30,14.3500
sh.600111,2021-07-30,47.7000
sh.600112,2021-07-30,3.6900
sh.600113,2021-07-30,5.5200
sh.600114,2021-07-30,9.9600
sh.600115,2021-07-30,4.4100
sh.600116,2021-07-30,8.9000
sh.600117,2021-07-30,4.3100
sh.600118,2021-07-30,25.2200
sh.600119,2021-07-30,7.1600
sh.600120,2021-07-30,3.7900
sh.600121,2021-07-30,4.9200
sh.600122,2021-07-30,1.4000
sh.600123,2021-07-30,8.7200
sh.600125,2021-07-30,4.6000
sh.600126,2021-07-30,5.1200
sh.600127,2021-07-30,8.7700
sh.600128,2021-07-30,6.7800
sh.600129,2021-07-30,19.0500
sh.600130,2021-07-30,3.5300
sh.600131,2021-07-30,11.9200
sh.600132,2021-07-30,154.5100
sh.600133,2021-07-30,5.8300
sh.600135,2021-07-30,7.2300
sh.600136,2021-07-30,5.8800
sh.600137,2021-07-30,14.3900
sh.600138,2021-07-30,9.3100
sh.600139,2021-07-30,2.4500
sh.600141,2021-07-30,24.4600
sh.600143,2021-07-30,20.1000
sh.600145,2021-07-30,1.4400
sh.600146,2021-07-30,2.0400
sh.600148,2021-07-30,11.8400
sh.600149,2021-07-30,4.8100
sh.600150,2021-07-30,14.7900
sh.600151,2021-07-30,9.5800
sh.600152,2021-07-30,9.3800
sh.600153,2021-07-30,7.0700
sh.600155,2021-07-30,9.3600
sh.600156,2021-07-30,3.4600
sh.600157,2021-07-30,1.6400
sh.600158,2021-07-30,10.6000
sh.600159,2021-07-30,2.2500
sh.600160,2021-07-30,11.7800
sh.600161,2021-07-30,36.9700
sh.600162,2021-07-30,1.7700
sh.600163,2021-07-30,5.2400
sh.600165,2021-07-30,7.7000
sh.600166,2021-07-30,3.7100
sh.600167,2021-07-30,8.5200
sh.600168,2021-07-30,6.3500
sh.600169,2021-07-30,2.4700
sh.600170,2021-07-30,2.6700
sh.600171,2021-07-30,35.0400
sh.600172,2021-07-30,6.2500
sh.600173,2021-07-30,5.5600
sh.600176,2021-07-30,14.9100
sh.600177,2021-07-30,6.3600
sh.600178,2021-07-30,8.0500
sh.600179,2021-07-30,3.7600
sh.600180,2021-07-30,5.3100
sh.600182,2021-07-30,14.8200
sh.600183,2021-07-30,27.5000
sh.600184,2021-07-30,11.3500
sh.600185,2021-07-30,7.4600
sh.600186,2021-07-30,2.8100
sh.600187,2021-07-30,2.2400
sh.600188,2021-07-30,18.8000
sh.600189,2021-07-30,9.3800
sh.600190,2021-07-30,2.6900
sh.600191,2021-07-30,2.7200
sh.600192,2021-07-30,4.5300
sh.600193,2021-07-30,8.6000
sh.600195,2021-07-30,9.9000
sh.600196,2021-07-30,81.8800
sh.600197,2021-07-30,23.7900
sh.600198,2021-07-30,7.5300
sh.600199,2021-07-30,14.0100
sh.600200,2021-07-30,8.0100
sh.600201,2021-07-30,17.7400
sh.600202,2021-07-30,3.6800
sh.600203,2021-07-30,9.3200
sh.600206,2021-07-30,16.5700
sh.600207,2021-07-30,8.4300
sh.600208,2021-07-30,2.9300
sh.600209,2021-07-30,4.6800
sh.600210,2021-07-30,7.3100
sh.600211,2021-07-30,57.1700
sh.600212,2021-07-30,4.2600
sh.600213,2021-07-30,7.4400
sh.600215,2021-07-30,6.3500
sh.600216,2021-07-30,15.9500
sh.600217,2021-07-30,5.0500
sh.600218,2021-07-30,8.6900
sh.600219,2021-07-30,5.1200
sh.600220,2021-07-30,2.0400
sh.600221,2021-07-30,2.2000
sh.600222,2021-07-30,6.9500
sh.600223,2021-07-30,11.2000
sh.600225,2021-07-30,2.6900
sh.600226,2021-07-30,2.6500
sh.600227,2021-07-30,3.0600
sh.600228,2021-07-30,7.1900
sh.600229,2021-07-30,5.4600
sh.600230,2021-07-30,17.3500
sh.600231,2021-07-30,3.1500
sh.600232,2021-07-30,5.1900
sh.600233,2021-07-30,9.0300
sh.600234,2021-07-30,13.0300
sh.600235,2021-07-30,4.8000
sh.600236,2021-07-30,4.9200
sh.600237,2021-07-30,6.8500
sh.600238,2021-07-30,20.0300
sh.600239,2021-07-30,1.9400
sh.600241,2021-07-30,6.0100
sh.600242,2021-07-30,2.6500
sh.600243,2021-07-30,3.9800
sh.600246,2021-07-30,8.1300
sh.600248,2021-07-30,4.5700
sh.600249,2021-07-30,4.5400
sh.600250,2021-07-30,4.3900
sh.600251,2021-07-30,10.6600
sh.600252,2021-07-30,3.2500
sh.600255,2021-07-30,2.3200
sh.600256,2021-07-30,4.0200
sh.600257,2021-07-30,6.0000
sh.600258,2021-07-30,18.6000
sh.600259,2021-07-30,49.0200
sh.600260,2021-07-30,4.5800
sh.600261,2021-07-30,3.6300
sh.600262,2021-07-30,12.8200
sh.600265,2021-07-30,20.2600
sh.600266,2021-07-30,4.1800
sh.600267,2021-07-30,13.2100
sh.600268,2021-07-30,7.2800
sh.600269,2021-07-30,3.2600
sh.600271,2021-07-30,12.0200
sh.600272,2021-07-30,6.7300
sh.600273,2021-07-30,9.1600
sh.600275,2021-07-30,3.6400
sh.600276,2021-07-30,54.3800
sh.600277,2021-07-30,3.5400
sh.600278,2021-07-30,7.6800
sh.600279,2021-07-30,3.4400
sh.600280,2021-07-30,2.8900
sh.600281,2021-07-30,4.8600
sh.600282,2021-07-30,3.7500
sh.600283,2021-07-30,10.4200
sh.600284,2021-07-30,6.0600
sh.600285,2021-07-30,10.0400
sh.600287,2021-07-30,4.8600
sh.600288,2021-07-30,10.8600
sh.600289,2021-07-30,3.1100
sh.600290,2021-07-30,3.2100
sh.600291,2021-07-30,2.8800
sh.600292,2021-07-30,7.5300
sh.600293,2021-07-30,4.5800
sh.600295,2021-07-30,23.5000
sh.600297,2021-07-30,2.7200
sh.600298,2021-07-30,46.7700
sh.600299,2021-07-30,10.7300
sh.600300,2021-07-30,3.6500
sh.600301,2021-07-30,8.0800
sh.600302,2021-07-30,3.9500
sh.600303,2021-07-30,3.6000
sh.600305,2021-07-30,16.1300
sh.600306,2021-07-30,13.8600
sh.600307,2021-07-30,2.7000
sh.600308,2021-07-30,5.2500
sh.600309,2021-07-30,113.7200
sh.600310,2021-07-30,3.8800
sh.600311,2021-07-30,2.2800
sh.600312,2021-07-30,6.5200
sh.600313,2021-07-30,4.9700
sh.600315,2021-07-30,48.5300
sh.600316,2021-07-30,41.1000
sh.600318,2021-07-30,6.8300
sh.600319,2021-07-30,5.1000
sh.600320,2021-07-30,3.2300
sh.600321,2021-07-30,1.9700
sh.600322,2021-07-30,1.7300
sh.600323,2021-07-30,21.7300
sh.600325,2021-07-30,5.7300
sh.600326,2021-07-30,6.3300
sh.600327,2021-07-30,6.5800
sh.600328,2021-07-30,15.4200
sh.600329,2021-07-30,25.7300
sh.600330,2021-07-30,11.3000
sh.600331,2021-07-30,3.5400
sh.600332,2021-07-30,30.0000
sh.600333,2021-07-30,4.4300
sh.600335,2021-07-30,4.9700
sh.600336,2021-07-30,5.4400
sh.600337,2021-07-30,3.7200
sh.600338,2021-07-30,25.7300
sh.600339,2021-07-30,2.6600
sh.600340,2021-07-30,4.3300
sh.600343,2021-07-30,9.1400
sh.600345,2021-07-30,15.7000
sh.600346,2021-07-30,29.1900
sh.600348,2021-07-30,9.6300
sh.600350,2021-07-30,6.1600
sh.600351,2021-07-30,5.7300
sh.600352,2021-07-30,12.2600
sh.600353,2021-07-30,5.7000
sh.600354,2021-07-30,6.7800
sh.600355,2021-07-30,2.8100
sh.600356,2021-07-30,6.7300
sh.600358,2021-07-30,3.3400
sh.600359,2021-07-30,7.3800
