code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sh.600000,2017-04-27,2017-03-31,0.038668,0.34577399999999997,,14647000000.0,2.481187,,21618279922.0,21618279922.0
sh.600004,2017-04-29,2017-03-31,0.037044,0.259369,0.386756,410774438.58,1.257727,,1156416852.0,1156416852.0
sh.600006,2017-04-29,2017-03-31,0.010752,-0.001576,0.115625,-6046409.37,0.083928,,2000000000.0,2000000000.0
sh.600007,2017-04-29,2017-03-31,0.025531,0.26355100000000004,0.543007,158704861.0,0.6638310000000001,,1007282534.0,1007282534.0
sh.600008,2017-04-28,2017-03-31,0.010656,0.069677,0.337471,123273479.55,0.12858499999999998,,4820614124.0,4820614124.0
sh.600009,2017-04-28,2017-03-31,0.034876,0.43762299999999993,0.453529,829365876.66,1.534044,,1926958448.0,1093476397.0
sh.600010,2017-04-28,2017-03-31,0.004177,0.018484,0.09372799999999999,196481510.81,0.025588,,32560737606.0,15742024158.0
sh.600011,2017-04-26,2017-03-31,0.008393000000000001,0.025811,0.123047,969898756.0,0.293526,,15200383440.0,10500000000.0
sh.600012,2017-04-28,2017-03-31,0.033260000000000005,0.415861,0.599974,298036251.65,0.586388,,1658610000.0,1165600000.0
sh.600015,2017-04-29,2017-03-31,0.029245,0.278305,,4545000000.0,1.8478189999999999,,10685572211.0,10685572211.0
sh.600016,2017-04-27,2017-03-31,0.040595,0.400397,,14506000000.0,1.324806,,36485348752.0,29551769344.0
sh.600017,2017-04-14,2017-03-31,0.010368,0.10952200000000001,0.24071599999999999,127482609.87,0.06631799999999999,,3075653888.0,3075653888.0
sh.600018,2017-04-29,2017-03-31,0.018335,0.180545,0.282537,1443011380.86,0.29607100000000003,,23173674650.0,22755179650.0
sh.600019,2017-04-28,2017-03-31,0.027536,0.049018,0.11857999999999999,4167029541.86,0.506405,,22102656925.0,22076795525.0
sh.600020,2017-04-26,2017-03-31,0.03619,0.21761799999999998,0.46243100000000004,461540205.52,0.462125,,2247371832.0,2247371832.0
sh.600021,2017-04-28,2017-03-31,0.007108,0.041643,0.139346,185776057.33,0.306717,,2139739257.0,2139739257.0
sh.600022,2017-04-20,2017-03-31,0.027826999999999998,0.028071,0.050309,462835539.4,0.021876,,8420422781.0,8222010082.0
sh.600023,2017-04-26,2017-03-31,0.015888,0.094265,0.11773,1034276214.43,0.421969,,13600689988.0,13600689988.0
sh.600026,2017-04-29,2017-03-31,0.020347,0.223255,0.31365,594913911.86,0.480968,,4032032861.0,2736032861.0
sh.600027,2017-04-29,2017-03-31,0.000278,0.004334,0.090527,82824000.0,0.155882,,9862976653.0,6784605682.0
sh.600028,2017-04-28,2017-03-31,0.023088,0.037244,0.199021,21683000000.0,0.46963299999999997,,121071209646.0,95557771046.0
sh.600029,2017-04-29,2017-03-31,0.035257,0.059414,0.14747000000000002,1840000000.0,0.398469,,9817567000.0,7022650000.0
sh.600030,2017-04-29,2017-03-31,0.015959,0.28225500000000003,,2431732377.28,0.909856,,12116908400.0,9814661700.0
sh.600031,2017-04-28,2017-03-31,0.032228,0.086576,0.325546,811805000.0,0.112171,,7657951961.0,7593733498.0
sh.600033,2017-04-29,2017-03-31,0.025138,0.463106,0.698001,276654424.51,0.26044,,2744400000.0,2744400000.0
sh.600035,2017-04-28,2017-03-31,0.034266000000000005,0.329336,0.524425,172459700.76,0.246799,,1730795923.0,1453377893.0
sh.600036,2017-04-28,2017-03-31,0.048548,0.352028,,20092000000.0,2.526106,,25219845601.0,20628944429.0
sh.600037,2017-04-29,2017-03-31,0.013916999999999999,0.320286,0.316857,177390484.63,0.515894,,1391777884.0,1168352026.0
sh.600038,2017-04-28,2017-03-31,0.010294,0.034224,0.127824,71456062.82,0.771063,,589476716.0,589476716.0
