date,open,high,low,close,volume
2013-01-04,3.0000,3.0300,2.9900,3.0000,10103407
2013-01-07,2.9900,3.0000,2.9700,2.9900,6568342
2013-01-08,2.9800,2.9900,2.9600,2.9700,5746857
2013-01-09,2.9800,3.0500,2.9600,3.0000,11173464
2013-01-10,3.0000,3.0200,2.9800,3.0100,8001199
2013-01-11,3.0000,3.0100,2.9100,2.9300,7764538
2013-01-14,2.9100,3.0000,2.9000,2.9900,8498764
2013-01-15,3.0000,3.0800,2.9900,3.0600,15071460
2013-01-16,3.0700,3.0900,3.0200,3.0300,10040558
2013-01-17,3.0300,3.0400,2.9900,3.0100,6113658
2013-01-18,3.0000,3.0400,2.9700,3.0300,10030245
2013-01-21,3.0300,3.0900,3.0000,3.0600,12030227
2013-01-22,3.0500,3.0500,2.9900,3.0200,8247646
2013-01-23,3.0100,3.0200,2.9600,3.0000,8539046
2013-01-24,2.9900,3.0300,2.9500,2.9700,7491596
2013-01-25,2.9700,3.0900,2.9700,3.0800,21120678
2013-01-28,3.1300,3.3900,3.1300,3.3900,56945912
2013-01-29,3.4600,3.5700,3.2900,3.3200,60650407
2013-01-30,3.3000,3.3200,3.2100,3.2500,25674622
2013-01-31,3.2300,3.2300,3.1600,3.1900,16167975
2013-02-01,3.1800,3.2200,3.1400,3.2000,13304030
2013-02-04,3.1900,3.2700,3.1600,3.2400,19474102
2013-02-05,3.2100,3.2600,3.1800,3.2300,10384874
2013-02-06,3.2300,3.2600,3.2000,3.2300,8105856
2013-02-07,3.1800,3.2200,3.1800,3.1800,9436667
2013-02-08,3.1600,3.2700,3.1600,3.2400,10554768
2013-02-18,3.2500,3.3600,3.2400,3.3200,18084979
2013-02-19,3.3200,3.3200,3.2200,3.2300,9191490
2013-02-20,3.2300,3.2700,3.2100,3.2500,7736000
2013-02-21,3.2400,3.2400,3.1200,3.1500,9754753
2013-02-22,3.1500,3.1700,3.1200,3.1200,5065816
2013-02-25,3.1200,3.1500,3.1100,3.1300,3260078
2013-02-26,3.1200,3.1700,3.0900,3.1000,4823460
2013-02-27,3.1100,3.1400,3.0700,3.0900,3906662
2013-02-28,3.0900,3.1500,3.0800,3.1400,5181418
2013-03-01,3.1400,3.1400,3.1000,3.1400,6100582
2013-03-04,3.1100,3.1200,3.0200,3.0400,7336571
2013-03-05,3.0400,3.0700,3.0200,3.0700,6251416
2013-03-06,3.0600,3.1200,3.0500,3.1200,6050386
2013-03-07,3.1000,3.1100,3.0700,3.0900,5758052
2013-03-08,3.0800,3.1400,3.0700,3.1100,5898601
2013-03-11,3.1000,3.1000,3.0600,3.0800,4318448
2013-03-12,3.0700,3.1000,3.0000,3.0300,5063937
2013-03-13,3.0300,3.0500,2.9500,2.9900,5316941
2013-03-14,2.9900,3.0200,2.9800,3.0000,2435618
2013-03-15,3.0000,3.0300,2.9600,2.9900,3138093
2013-03-18,2.9700,2.9900,2.9000,2.9100,5236009
2013-03-19,2.9100,2.9300,2.8700,2.9200,3401659
