date,open,high,low,close,volume
2013-01-04,717.3030,718.3871,699.1696,705.3429,428797964
2013-01-07,704.3722,718.1149,702.3896,718.1149,473422712
2013-01-08,718.4314,735.3436,716.2977,733.1389,558331723
2013-01-09,732.0112,740.6354,727.9131,734.5060,529453188
2013-01-10,734.3094,743.5515,734.3094,741.1807,470018523
2013-01-11,740.8967,746.0369,730.4019,731.5875,532735524
2013-01-14,735.6536,761.7290,735.1815,760.5507,586224221
2013-01-15,763.6254,781.4211,763.6254,778.6033,735500083
2013-01-16,777.0389,779.9253,762.0442,774.4855,554870878
2013-01-17,773.7912,775.8248,767.4858,768.3081,409237280
2013-01-18,771.3116,787.4961,771.3116,787.3867,453049867
2013-01-21,788.0695,793.2323,783.4159,792.6009,442412260
2013-01-22,792.3123,792.5454,769.0900,775.1357,432686012
2013-01-23,773.7399,779.5585,765.3633,778.4781,376178929
2013-01-24,778.6364,784.3217,750.3585,757.8690,498831212
2013-01-25,757.6114,766.7810,756.6082,762.8480,313899367
2013-01-28,764.0872,784.7602,764.0872,784.7602,341318792
2013-01-29,785.7588,795.0684,785.7588,791.6713,398907356
2013-01-30,791.9624,792.7672,778.3028,783.6823,395080714
2013-01-31,784.1083,784.1083,771.1521,776.0051,418749845
2013-02-01,775.1134,785.5200,772.9413,782.3634,391554126
2013-02-04,783.7432,786.5629,767.8471,771.9025,411243524
2013-02-05,768.4121,781.5683,765.9670,780.9818,306085240
2013-02-06,781.3199,794.5048,781.3199,791.2630,329440359
2013-02-07,792.8550,806.3087,789.3682,805.5862,331128321
2013-02-08,804.9567,824.3116,804.9567,823.0285,383845877
2013-02-18,829.6623,835.6641,825.9470,835.2775,477261577
2013-02-19,834.9691,835.4110,816.9582,819.7094,426407509
2013-02-20,819.0315,850.8635,819.0315,850.8635,509227216
2013-02-21,846.6391,853.2688,829.5966,839.2981,567979536
2013-02-22,837.1310,848.1602,836.8675,838.7631,404852368
2013-02-25,838.8777,857.8488,838.8777,855.6945,450666321
2013-02-26,853.2807,865.7972,849.9388,851.2174,506097656
2013-02-27,852.1267,856.1163,835.9352,846.0904,430049797
2013-02-28,846.3397,861.0957,844.2003,861.0957,463515267
2013-03-01,860.8013,885.1808,859.8305,884.8918,607589774
2013-03-04,880.2463,888.7931,855.0500,863.5003,639461143
2013-03-05,861.2251,888.3181,857.5415,888.0990,475627331
2013-03-06,890.2335,905.1640,890.2335,902.9031,551464981
2013-03-07,902.4070,902.4070,867.8708,877.3372,524988769
2013-03-08,877.7300,882.1380,861.8086,864.6991,377378283
2013-03-11,863.1227,872.1803,858.0379,869.1508,281227739
2013-03-12,869.7248,873.4733,828.0372,839.8368,475170471
2013-03-13,835.4568,836.2764,821.3525,834.0494,319778021
2013-03-14,832.2923,845.5952,831.5681,842.0364,283946872
2013-03-15,841.7136,867.8657,839.5825,853.9063,353744607
2013-03-18,852.1524,862.8229,850.0983,852.1176,289020660
2013-03-19,850.0616,854.2450,829.1892,842.6853,300744897
2013-03-20,842.7144,866.2674,842.5842,866.2674,338852686
2013-03-21,867.9010,885.9817,866.6793,882.7341,410081902
2013-03-22,881.8993,884.2357,876.9167,882.0015,321171223
2013-03-25,882.7463,884.8543,874.0074,881.7568,315953074
2013-03-26,878.5564,879.8489,862.6663,876.3616,326212918
2013-03-27,876.5479,885.7722,874.2488,882.7527,285319511
2013-03-28,877.8500,877.8500,861.6543,867.5115,328240242
2013-03-29,868.0932,872.7778,860.9632,866.4551,267548833
2013-04-01,866.6542,879.9241,865.9844,877.0010,279371173
2013-04-02,875.3252,883.1540,843.2076,845.1633,352335720
2013-04-03,842.3646,845.4900,827.2707,835.1380,296581135
2013-04-08,824.7767,853.6236,817.3470,853.4847,311854563
2013-04-09,854.5134,864.1169,853.9443,861.9915,264731184
2013-04-10,861.2704,861.9111,843.0990,850.5331,255215345
2013-04-11,853.1421,855.9576,847.3891,847.7829,220831438
2013-04-12,847.2041,854.2176,845.8530,846.6129,205374718
2013-04-15,844.1104,845.7540,834.0082,836.3422,182150863
2013-04-16,828.9374,846.0540,824.8419,846.0540,198005275
2013-04-17,845.0934,867.5118,844.9224,867.5118,255832934
2013-04-18,862.6989,875.9950,860.7178,873.4817,272093050
2013-04-19,874.8844,895.8736,874.8844,892.2108,345087697
2013-04-22,890.9323,916.0211,889.2582,916.0211,385981325
2013-04-23,916.4201,916.5406,892.1093,893.7902,396183935
2013-04-24,894.6944,925.0120,894.6944,923.4065,389671509
2013-04-25,924.2230,937.5586,903.6135,903.6345,482563505
2013-04-26,901.9957,904.3002,886.4027,889.3818,343244999
2013-05-02,887.0764,914.1710,883.7881,913.6519,280735115
2013-05-03,916.0078,940.2808,916.0078,939.2101,390797507
2013-05-06,941.0882,962.6313,941.0882,958.0225,497409965
2013-05-07,956.4157,964.7144,949.8391,957.4409,425533699
2013-05-08,960.9773,980.0833,960.6966,980.0833,493870589
2013-05-09,978.9420,994.2691,978.0690,992.1614,583110417
2013-05-10,989.1511,996.5874,977.4265,988.3000,549987758
2013-05-13,989.3729,995.2544,978.7157,995.1092,466095032
2013-05-14,992.6173,992.6173,971.3521,976.3333,413012746
2013-05-15,976.9487,1012.6740,976.9487,1012.6570,499755860
2013-05-16,1010.9470,1034.3530,999.4937,1009.5260,693631889
2013-05-17,1006.4740,1029.1100,1004.4200,1023.4040,540703200
2013-05-20,1025.1730,1052.7030,1025.1730,1051.6530,697549848
2013-05-21,1049.5980,1074.8910,1045.4610,1073.5830,712337873
2013-05-22,1067.4370,1067.4980,1036.3110,1039.8110,1705007696
2013-05-23,1035.3090,1061.5270,1033.1240,1042.8970,580553849
2013-05-24,1044.2950,1073.7830,1044.2950,1073.7830,613410874
2013-05-27,1075.8250,1091.2530,1075.8250,1089.7240,670674857
2013-05-28,1089.7660,1090.1590,1055.6370,1059.0020,619449486
2013-05-29,1055.5970,1067.0260,1053.1770,1065.9610,487073493
2013-05-30,1063.0000,1078.4640,1059.8280,1073.8700,521434272
2013-05-31,1074.4760,1086.3270,1068.0660,1073.0230,1403282336
2013-06-03,1070.7320,1074.8210,1050.2130,1052.1360,1266829952
2013-06-04,1049.1030,1049.2570,1011.4040,1022.4610,553234488
2013-06-05,1021.0240,1038.0250,1021.0240,1032.7560,429371998
2013-06-06,1027.0530,1031.3580,1020.8320,1022.1300,421631212
2013-06-07,1022.5600,1039.6550,1018.4530,1030.1390,463511754
