date,open,high,low,close,volume,peTTM,pbMRQ
1999-01-04,8.8800,8.9400,8.8000,8.8800,1257518,37.231581,3.903463
1999-01-05,8.8900,8.9600,8.7000,8.9100,1480640,37.357363,3.916650
1999-01-06,8.9600,9.2000,8.9200,9.1800,5079740,38.489404,4.035337
1999-01-07,9.1500,9.3000,9.1100,9.2200,5597290,38.657114,4.052920
1999-01-08,9.3900,9.4800,9.2700,9.4500,5580270,39.621446,4.154023
1999-01-11,9.4800,9.4800,9.3000,9.3200,2294605,39.076389,4.096878
1999-01-12,9.3500,9.3900,9.1400,9.1800,2126194,38.489404,4.035337
1999-01-13,9.1800,9.2700,9.1000,9.1700,2406820,38.447477,4.030941
1999-01-14,9.2500,9.6500,9.2000,9.5700,10591344,40.124575,4.206773
1999-01-15,9.6500,9.7700,9.5300,9.5900,7854333,40.208430,4.215564
1999-01-18,9.5700,9.6500,9.4200,9.6000,2746785,40.250358,4.219960
1999-01-19,9.6300,9.8600,9.5700,9.8000,6975270,41.088907,4.307876
1999-01-20,9.9500,9.9500,9.6500,9.7000,4155109,40.669632,4.263918
1999-01-21,9.7200,9.7500,9.5500,9.6600,2390176,40.501922,4.246335
1999-01-22,9.6800,9.7800,9.5300,9.5800,4207259,40.166503,4.211168
1999-01-25,9.6000,9.6500,9.3000,9.3300,4334210,39.118316,4.101274
1999-01-26,9.4000,9.6000,9.3000,9.4900,3092889,39.789155,4.171606
1999-01-27,9.6500,9.7400,9.5000,9.6900,4857263,40.627705,4.259522
1999-01-28,9.8400,9.8400,9.4000,9.6400,2673683,40.418067,4.237543
1999-01-29,9.5100,9.6600,9.4000,9.4800,1319027,39.747228,4.167211
1999-02-01,9.4600,9.4600,9.2300,9.2500,1625136,38.782897,4.066107
1999-02-02,9.2100,9.4500,9.1400,9.4500,2432840,39.621446,4.154023
1999-02-03,9.3800,9.5800,9.2500,9.3900,3500165,39.369881,4.127648
1999-02-04,9.3400,9.4000,9.2000,9.2800,1181210,38.908679,4.079295
1999-02-05,9.2500,9.2500,9.0300,9.0400,1912190,37.902420,3.973796
1999-02-08,9.0000,9.2000,8.8900,9.0900,5771908,38.112057,3.995775
1999-02-09,9.0900,9.2600,9.0400,9.2300,1922533,38.699042,4.057316
1999-03-01,9.2700,9.3000,9.0500,9.1500,706506,38.363622,4.022149
1999-03-02,9.1000,9.1000,8.9900,9.0000,1130929,37.734710,3.956213
1999-03-03,9.0000,9.3000,9.0000,9.3000,2517869,38.992534,4.088086
1999-03-04,9.2800,9.4000,9.1900,9.3800,2168868,39.327953,4.123253
1999-03-05,9.4000,9.7200,9.4000,9.6200,8280924,40.334212,4.228752
1999-03-08,9.6200,9.8400,9.5300,9.7800,7961820,41.005052,4.299084
1999-03-09,9.8500,10.2600,9.8200,10.0800,33081581,42.262875,4.430958
1999-03-10,10.1500,10.3500,9.9000,9.9300,16953442,41.633964,4.365021
1999-03-11,10.0000,10.1500,9.8600,10.0800,12601510,42.262875,4.430958
1999-03-12,10.1500,10.2200,9.8600,9.9700,6562924,41.801673,4.382604
1999-03-15,10.0000,10.2300,10.0000,10.1700,14627212,42.640222,4.470520
1999-03-16,10.2500,10.3200,10.0200,10.3200,7422837,43.269134,4.536457
1999-03-17,10.2000,10.2800,10.0600,10.1500,9592065,24.929081,4.129900
1999-03-18,10.0000,10.0500,9.6600,9.6700,6175382,23.750169,3.934594
1999-03-19,9.6100,9.7700,9.5600,9.6700,6521728,23.750169,3.934594
1999-03-22,9.6700,9.8800,9.5800,9.7200,6739885,23.872972,3.954939
1999-03-23,9.8500,9.8500,9.6600,9.7700,2882935,23.995776,3.975283
1999-03-24,9.7200,9.8300,9.6500,9.7300,2596550,23.897533,3.959008
1999-03-25,9.7800,9.9700,9.7300,9.8500,8349493,24.192261,4.007834
1999-03-26,9.9000,10.1800,9.8600,10.1500,13212804,24.929081,4.129900
1999-03-29,10.1200,10.3800,10.1100,10.2900,15975419,25.272930,4.186864
1999-03-30,10.3900,10.4500,10.0000,10.0500,10403706,24.683474,4.089211
1999-03-31,10.1000,10.1600,10.0000,10.1000,6947855,24.806278,4.109556
1999-04-01,10.1200,10.3200,10.0700,10.3000,9059679,25.297491,4.190933
1999-04-02,10.4000,10.8800,10.4000,10.8700,47034966,26.697449,4.422858
1999-04-05,10.9200,11.4500,10.9200,11.3300,55239185,27.827240,4.610026
1999-04-06,11.4700,11.5700,11.0800,11.3400,26522467,27.851801,4.614095
1999-04-07,11.2300,11.5400,11.0900,11.3600,37224371,27.900922,4.622233
1999-04-08,11.3000,11.4800,11.1000,11.2800,19840416,27.704437,4.589682
1999-04-09,11.2600,11.3400,11.0000,11.1700,17241547,27.434270,4.544924
