date,open,high,low,close,volume,peTTM,pbMRQ
1999-07-27,7.2700,7.3100,6.6300,6.7000,107249756,27.944654,9.850863
1999-07-28,6.7000,6.9800,6.7000,6.8500,32242369,28.570280,10.071405
1999-07-29,7.0500,7.0600,6.7300,6.8000,13575908,28.361738,9.997891
1999-07-30,6.8000,6.8600,6.7100,6.7400,7753250,28.111488,9.909674
1999-08-02,6.7400,6.8600,6.7300,6.7700,6593044,28.236613,9.953783
1999-08-03,6.7800,6.8000,6.6300,6.6800,9514931,27.861237,9.821458
1999-08-04,6.7000,6.8000,6.6600,6.7500,8469431,28.153196,9.924377
1999-08-05,6.7700,6.9800,6.7500,6.8900,14603511,28.737114,10.130216
1999-08-06,6.8900,7.0700,6.6900,6.9800,14542651,29.112490,10.262541
1999-08-09,6.9800,7.0500,6.8600,6.9300,10283841,28.903948,10.189027
1999-08-10,6.9000,7.0400,6.8000,6.8200,6168889,28.445155,10.027296
1999-08-11,6.7900,6.8200,6.6800,6.6900,4005636,27.902945,9.836160
1999-08-12,6.6900,6.8000,6.6800,6.7100,2367350,27.986362,9.865566
1999-08-13,6.7500,6.8500,6.7400,6.7800,2820228,28.278321,9.968485
1999-08-16,6.8000,6.8200,6.7000,6.7700,1864577,28.236613,9.953783
1999-08-17,6.7800,6.9000,6.7500,6.7700,3666209,28.236613,9.953783
1999-08-18,6.7800,6.8000,6.6300,6.7600,2824700,28.194904,9.939080
1999-08-19,6.9600,6.9600,6.8100,6.8700,7660775,28.653697,2.852656
1999-08-20,6.9100,6.9300,6.7500,6.7700,5523799,28.236613,2.811133
1999-08-23,6.7600,6.8300,6.7100,6.7700,3280150,28.236613,2.811133
1999-08-24,6.7800,6.8900,6.7800,6.8000,4586358,28.361738,2.823590
1999-08-25,6.8100,6.9600,6.7800,6.8400,7471191,28.528572,2.840199
1999-08-26,6.8400,7.1500,6.8300,7.0500,17541199,29.404449,2.927398
1999-08-27,7.0900,7.1000,6.9700,6.9900,7491937,29.154199,2.902484
1999-08-30,7.0000,7.0400,6.9500,6.9500,4711879,28.987365,2.885875
1999-08-31,6.9700,7.0200,6.9200,7.0000,4594184,29.195907,2.906637
1999-09-01,7.0000,7.0000,6.8000,6.8200,2762391,28.445155,2.831895
1999-09-02,6.8000,6.9400,6.7800,6.9000,3167022,28.778823,2.865113
1999-09-03,6.9000,6.9200,6.7000,6.7400,2259707,28.111488,2.798676
1999-09-06,6.7400,6.8400,6.7000,6.7500,1581208,28.153196,2.802828
1999-09-07,6.7600,6.8600,6.7100,6.7700,1491487,28.236613,2.811133
1999-09-08,6.8000,6.8700,6.7600,6.7900,1402676,28.320030,2.819438
1999-09-09,6.9000,7.1200,6.8800,7.1000,15861122,29.612991,2.948160
1999-09-10,7.1600,7.4800,7.0800,7.2200,24409424,30.113493,2.997988
1999-09-13,7.2700,7.4500,7.2500,7.3000,7229517,30.447160,3.031207
1999-09-14,7.3300,7.3800,7.1000,7.1800,6215648,29.946659,2.981379
1999-09-15,7.2000,7.2900,7.1600,7.2000,4761600,30.030076,2.989683
1999-09-16,7.2000,7.2700,7.1500,7.1600,2832495,29.863242,2.973074
1999-09-17,7.1600,7.3000,7.1000,7.1900,4095738,29.988367,2.985531
1999-09-20,7.1900,7.2200,6.9800,7.0000,3510250,29.195907,2.906637
1999-09-21,6.9900,7.0500,6.9000,6.9500,2537030,28.987365,2.885875
1999-09-22,6.9400,6.9800,6.9000,6.9500,1542191,28.987365,2.885875
1999-09-23,6.9500,6.9700,6.8300,6.8700,2009878,28.653697,2.852656
1999-09-24,6.9600,7.0100,6.9000,6.9300,1247064,28.903948,2.877570
1999-09-27,6.9700,7.0000,6.8500,6.8600,1313900,28.611989,2.848504
1999-09-28,6.8700,6.9500,6.8400,6.8900,920044,28.737114,2.860961
1999-09-29,6.9300,6.9500,6.8100,6.8200,1399310,28.445155,2.831895
1999-09-30,6.8300,6.8800,6.8000,6.8100,1227786,28.403447,2.827742
1999-10-08,6.8000,6.8000,6.5800,6.6000,3457200,27.527569,2.740543
1999-10-11,6.5700,6.5700,6.4300,6.4500,3614600,26.901943,2.678258
1999-10-12,6.4500,6.5100,6.4500,6.4600,1648533,26.943651,2.682410
1999-10-13,6.4000,6.4500,6.2700,6.2800,1550848,26.192899,2.607668
1999-10-14,6.2800,6.4000,6.1400,6.2000,2742290,25.859232,2.574450
1999-10-15,6.2500,6.3900,6.2500,6.3400,2489290,26.443150,2.632582
1999-10-18,6.3500,6.3800,6.1300,6.1700,1853080,25.734107,2.561993
1999-10-19,6.1100,6.1600,6.0000,6.0500,2612410,25.233605,2.512165
1999-10-20,6.0600,6.1400,5.9500,6.0700,3324050,25.317022,2.520469
1999-10-21,6.0500,6.1200,5.9800,6.0100,2291196,25.066772,2.495555
1999-10-22,6.0100,6.2100,6.0100,6.1200,2945809,25.525564,2.541231
1999-10-25,6.1500,6.1800,6.0400,6.1000,944222,25.442147,2.532926
1999-10-26,6.1100,6.2400,6.0900,6.1800,1231159,25.775815,2.566145
1999-10-27,6.2600,6.6500,6.2200,6.3500,9024041,26.484858,2.636735
1999-10-28,6.3600,6.4100,6.1000,6.2000,3610962,25.859232,2.574450
1999-10-29,6.2000,6.2800,6.0900,6.1300,2077474,25.567273,2.545383
1999-11-01,6.1400,6.1900,6.1000,6.1200,851099,25.525564,2.541231
1999-11-02,6.1200,6.1900,6.0900,6.1200,716860,25.525564,2.541231
1999-11-03,6.1000,6.1300,6.0500,6.0700,1084800,25.317022,2.520469
1999-11-04,6.0700,6.0800,6.0200,6.0600,1034100,25.275314,2.516317
1999-11-05,6.0600,6.1400,6.0400,6.0500,977400,25.233605,2.512165
1999-11-08,6.0700,6.1400,6.0500,6.0800,835987,25.358731,2.524622
1999-11-09,6.0800,6.1500,6.0300,6.0500,971600,25.233605,2.512165
1999-11-10,6.0500,6.0500,5.9000,6.0000,2854257,25.025063,2.491403
1999-11-11,6.0000,6.1000,5.9000,5.9200,1249696,24.691396,2.458184
1999-11-12,5.9800,5.9900,5.9000,5.9400,959530,24.774812,2.466489
1999-11-15,5.9900,6.0500,5.8800,5.8900,1047577,24.566270,2.445727
1999-11-16,5.5800,5.6500,5.3000,5.4000,7003838,22.522557,2.242263
1999-11-17,5.4200,5.5400,5.4000,5.5400,3722920,23.106475,2.300395
1999-11-18,5.5600,5.6300,5.4500,5.5700,2802542,23.231600,2.312852
1999-11-19,5.5900,5.5900,5.4600,5.4700,2142706,22.814516,2.271329
1999-11-22,5.5000,5.5000,5.3100,5.3600,3298270,22.355723,2.225653
1999-11-23,5.3800,5.4100,5.3000,5.4000,2644206,22.522557,2.242263
1999-11-24,5.4100,5.4300,5.3300,5.3500,1471956,22.314015,2.221501
1999-11-25,5.3500,5.3500,5.2000,5.2600,3229321,21.938639,2.184130
1999-11-26,5.2500,5.3000,5.2300,5.2800,1299900,22.022056,2.192434
1999-11-29,5.3000,5.3200,5.2600,5.2600,1340900,21.938639,2.184130
1999-11-30,5.2600,5.3000,5.2400,5.3000,1003860,22.105472,2.200739
1999-12-01,5.3400,5.3500,5.2800,5.3200,1104982,22.188889,2.209044
1999-12-02,5.3000,5.3100,5.2600,5.2700,1105300,21.980347,2.188282
1999-12-03,5.2700,5.2900,5.2500,5.2500,1266199,21.896930,2.179977
1999-12-06,5.2600,5.2700,5.1800,5.1900,2181600,21.646680,2.155063
1999-12-07,5.1900,5.2600,5.1900,5.2200,1624140,21.771805,2.167520
1999-12-08,5.2200,5.2500,5.1100,5.1600,2301050,21.521554,2.142606
1999-12-09,5.1600,5.1800,5.1100,5.1100,2026601,21.313012,2.121845
1999-12-10,5.1200,5.1500,5.1100,5.1400,2041942,21.438137,2.134302
1999-12-13,5.1500,5.2700,5.1500,5.1800,2249430,21.604971,2.150911
1999-12-14,5.1700,5.2100,5.1200,5.1600,2110600,21.521554,2.142606
1999-12-15,5.1700,5.3100,5.1700,5.2900,4365650,22.063764,2.196587
1999-12-16,5.2800,5.2800,5.1500,5.1600,1269400,21.521554,2.142606
1999-12-17,5.1800,5.1800,5.1000,5.1200,1935205,21.354721,2.125997
1999-12-21,5.1100,5.1100,4.9900,5.0000,2305200,20.854219,2.076169
1999-12-22,5.0000,5.0500,4.9500,4.9700,1630499,20.729094,2.063712
1999-12-23,4.9700,5.0000,4.8500,4.9000,1911250,20.437135,2.034646
1999-12-24,4.9000,4.9800,4.8700,4.9300,807976,20.562260,2.047103
1999-12-27,4.9500,4.9600,4.7900,4.8000,1423000,20.020050,1.993122
1999-12-28,4.8000,4.9500,4.7400,4.7600,1724300,19.853217,1.976513
1999-12-29,4.8000,4.9700,4.7600,4.8900,2405530,20.395426,2.030493
1999-12-30,4.9200,4.9500,4.8700,4.9000,1009100,20.437135,2.034646
2000-01-04,4.9500,5.0500,4.8600,4.9900,1950447,20.812511,2.072017
2000-01-05,5.0000,5.0700,4.9000,4.9500,3999520,20.645677,2.055407
2000-01-06,4.9500,5.1400,4.9100,5.1100,4277996,21.313012,2.121845
2000-01-07,5.1300,5.2700,5.1100,5.2400,9596079,21.855222,2.175825
2000-01-10,5.3000,5.3400,5.2100,5.2400,6675274,21.855222,2.175825
2000-01-11,5.2400,5.3900,5.0200,5.0600,5878200,21.104470,2.101083
2000-01-12,5.0300,5.1000,4.8900,4.8900,4133233,20.395426,2.030493
2000-01-13,4.9100,4.9600,4.8800,4.9200,1632952,20.520552,2.042950
2000-01-14,4.9200,4.9500,4.8400,4.8700,1285400,20.312010,2.022189
2000-01-17,4.8700,4.9300,4.8000,4.8800,1194350,20.353718,2.026341
2000-01-18,4.8800,4.9200,4.8200,4.8900,1005554,20.395426,2.030493
2000-01-19,4.8500,5.0000,4.8500,4.9100,1432404,20.478843,2.038798
2000-01-20,4.9100,4.9500,4.8300,4.8700,3049951,20.312010,2.022189
2000-01-21,4.9000,4.9100,4.7600,4.8200,3476113,20.103467,2.001427
2000-01-24,4.8000,4.8900,4.5000,4.7700,3953320,19.894925,1.980665
2000-01-25,4.7600,5.0000,4.7100,4.8600,4598445,20.270301,2.018036
2000-01-26,4.8800,4.9800,4.8300,4.8600,3260000,20.270301,2.018036
2000-01-27,4.8000,4.8000,4.7500,4.7900,2227390,19.978342,1.988970
2000-01-28,4.7900,4.8200,4.6800,4.7300,7748676,19.728091,1.964056
2000-02-14,4.9300,5.1700,4.8500,5.1300,8062558,21.396429,2.130149
2000-02-15,5.1500,5.1900,4.9000,4.9000,10215903,20.437135,2.034646
2000-02-16,4.9000,4.9500,4.7000,4.7700,8730340,19.894925,1.980665
2000-02-17,4.8000,5.2500,4.7800,5.1800,22754925,21.604971,2.150911
2000-02-18,5.1800,5.3000,4.9400,4.9800,10865685,20.770802,2.067864
2000-02-21,5.0000,5.4800,5.0000,5.4800,20732611,22.856224,2.275481
2000-02-22,5.4800,5.4800,5.1200,5.1500,11277555,21.479846,2.138454
2000-02-23,5.1300,5.2700,5.0500,5.0700,4939399,21.146178,2.105235
2000-02-24,5.0700,5.1500,4.9900,5.0800,4407641,21.187887,2.109388
2000-02-25,5.1000,5.1300,5.0000,5.0300,3735672,20.979345,2.088626
2000-02-28,5.0300,5.0300,5.0300,5.0300,0,20.979345,2.088626
2000-02-29,5.1500,5.2000,5.0300,5.1400,4700020,21.438137,2.134302
2000-03-01,5.1800,5.2200,5.0800,5.1100,5715349,21.313012,2.121845
2000-03-02,5.1000,5.1400,4.9600,5.0100,6910891,20.895928,2.080321
2000-03-03,5.0300,5.0900,5.0200,5.0800,5154387,21.187887,2.109388
2000-03-06,5.0800,5.2500,5.0600,5.1200,9108004,21.354721,2.125997
2000-03-07,5.1200,5.5700,5.1000,5.3900,18252290,22.480848,2.238110
2000-03-08,5.3900,5.3900,5.1800,5.2400,7490416,21.855222,2.175825
2000-03-09,5.2500,5.2900,5.1600,5.1900,4751639,21.646680,2.155063
2000-03-10,5.1800,5.1800,5.0800,5.1000,4460309,21.271304,2.117692
2000-03-13,5.2000,5.2400,5.1300,5.1900,2643600,21.646680,2.155063
2000-03-14,5.1900,5.1900,4.9800,5.0900,5308373,21.229595,2.113540
2000-03-15,5.0700,5.1900,5.0600,5.1100,4167093,21.313012,2.121845
2000-03-16,5.1000,5.1600,4.9800,5.0000,3293415,20.854219,2.076169
2000-03-17,5.0000,5.1200,5.0000,5.0800,2779560,21.187887,2.109388
2000-03-20,5.0700,5.2500,5.0100,5.2100,6111981,21.730096,2.163368
2000-03-21,5.2200,5.3900,5.2100,5.2500,8755244,21.896930,2.179977
2000-03-22,5.2300,5.4800,5.2300,5.3400,8860900,16.503884,2.119638
2000-03-23,5.3400,5.6500,5.3400,5.5300,23070197,17.091101,2.195056
2000-03-24,5.5600,5.6100,5.3500,5.3500,10740199,16.534791,2.123607
2000-03-27,5.3600,5.5600,5.3600,5.5000,7403876,16.998383,2.183147
2000-03-28,5.5500,5.8000,5.5500,5.7000,16243872,17.616506,2.262535
2000-03-29,5.7400,5.7500,5.5000,5.5900,8855414,17.276538,2.218872
2000-03-30,5.6600,5.7200,5.5800,5.6500,7971927,17.461975,2.242688
2000-03-31,5.6100,5.6500,5.5100,5.5200,6037937,17.060195,2.191086
2000-04-03,5.5100,5.5200,5.4300,5.4300,5178356,16.782040,2.155362
2000-04-04,5.4000,5.4000,5.3100,5.3300,4517502,16.472978,2.115668
2000-04-05,5.3100,5.4400,5.3000,5.3900,3135454,16.658415,2.139485
2000-04-06,5.3900,5.5000,5.3600,5.4700,3343240,16.905664,2.171239
2000-04-07,5.5000,5.7100,5.4600,5.7000,10912494,17.616506,2.262535
2000-04-10,5.7600,6.1000,5.7500,6.0000,38176963,18.543690,2.381615
2000-04-11,6.0200,6.0800,5.7300,5.7300,33455704,17.709224,2.274443
2000-04-12,5.7500,6.0600,5.7500,6.0000,25392070,18.543690,2.381615
2000-04-13,6.0900,6.2500,6.0500,6.1800,22941227,19.100001,2.453064
2000-04-14,6.2000,6.2200,5.9500,6.0400,14966085,18.667315,2.397493
2000-04-17,6.0200,6.0400,5.7400,5.8100,9016060,17.956473,2.306198
2000-04-18,5.7700,5.9800,5.6900,5.9000,7300644,18.234629,2.341922
2000-04-19,5.9000,5.9300,5.8000,5.8400,5731881,18.049192,2.318106
2000-04-20,5.8500,5.9200,5.8000,5.8500,6025490,18.080098,2.322075
2000-04-21,5.8500,5.8900,5.7000,5.7100,5207900,17.647412,2.266504
2000-04-24,5.7100,5.7800,5.6500,5.7700,4480702,17.832849,2.290320
2000-04-25,5.7700,5.7700,5.7700,5.7700,0,17.832849,2.290320
2000-04-26,5.8500,5.9700,5.8100,5.8200,2849666,17.987380,2.310167
2000-04-27,5.8500,5.9000,5.5700,5.6700,4263423,17.523787,2.250627
2000-04-28,5.6200,5.7200,5.6200,5.6900,2970760,17.585600,2.258565
2000-05-08,5.7000,5.7400,5.6000,5.6800,2466775,17.554693,2.254596
2000-05-09,5.6800,5.6800,5.4900,5.5000,2883600,16.998383,2.183147
2000-05-10,5.5000,5.5000,5.2800,5.2800,3887670,16.318447,2.095822
2000-05-11,5.2800,5.3600,5.2300,5.2500,2233600,16.225729,2.083913
2000-05-12,5.2700,5.3300,5.2500,5.3000,1853866,16.380260,2.103760
2000-05-15,5.3000,5.3300,5.1900,5.2000,1807904,16.071198,2.064067
2000-05-16,5.2200,5.2700,5.2200,5.2300,991273,16.163917,2.075975
2000-05-17,5.2500,5.3000,5.1900,5.2300,1371842,16.163917,2.075975
2000-05-18,5.2300,5.3800,5.2300,5.3600,2499522,16.565697,2.127576
2000-05-19,5.3700,5.3900,5.2800,5.3400,2236094,16.503884,2.119638
2000-05-22,5.3600,5.5800,5.3600,5.4500,3873403,16.843852,2.163301
2000-05-23,5.4500,5.5600,5.4100,5.5300,3108258,17.091101,2.195056
2000-05-24,5.5400,5.6800,5.4600,5.5700,4231587,17.214726,2.210933
2000-05-25,5.5900,5.6200,5.4900,5.6000,4681516,17.307444,2.222841
2000-05-26,5.6000,5.7200,5.5300,5.6600,5421987,17.492881,2.246657
2000-05-29,5.6600,5.7600,5.6000,5.7500,5741848,17.771037,2.282381
2000-05-30,5.7600,6.1300,5.7500,5.7800,14024069,17.863755,2.294290
2000-05-31,5.7800,5.9400,5.6400,5.8500,5874210,18.080098,2.322075
2000-06-01,5.8800,5.9700,5.8200,5.8800,4800652,18.172816,2.333983
2000-06-02,5.9000,6.1500,5.9000,6.0800,17044431,18.790939,2.413370
2000-06-05,6.2000,6.4900,5.9600,6.0300,26977949,18.636409,2.393523
2000-06-06,6.0000,6.0000,5.8000,5.9300,8538573,18.327347,2.353830
2000-06-07,5.9900,6.0400,5.8500,5.9100,5562639,18.265535,2.345891
