date,open,high,low,close,volume,peTTM,pbMRQ
1999-03-12,6.0000,6.1200,5.8200,5.8500,55675391,18.195320,4.127931
1999-03-15,5.8300,5.9500,5.7000,5.8900,14449646,18.319732,4.156156
1999-03-16,5.9000,6.4700,5.8300,6.3400,33196106,19.719372,4.473689
1999-03-17,6.3500,6.4900,6.3000,6.3400,23754802,19.719372,4.473689
1999-03-18,6.3600,6.4700,6.1900,6.2600,13184077,19.470547,4.417239
1999-03-19,6.2500,6.6900,6.1400,6.6300,20101399,20.621362,4.678321
1999-03-22,6.6600,6.7500,6.5400,6.6400,19180865,20.652466,4.685378
1999-03-23,6.6400,6.6500,6.4800,6.6200,7967910,20.590259,4.671265
1999-03-24,6.6200,6.6900,6.5000,6.5800,6567639,20.465847,4.643040
1999-03-25,6.5000,6.5500,6.3200,6.3400,7339779,19.719372,4.473689
1999-03-26,6.3200,6.4000,6.2700,6.3600,4724146,19.781578,4.487801
1999-03-29,6.3300,6.4500,6.2800,6.3900,3720904,19.874888,4.508970
1999-03-30,6.3800,6.3900,6.1800,6.2200,4073991,19.346135,4.389013
1999-03-31,6.2100,6.3500,6.1800,6.3000,3191000,19.594960,4.445464
1999-04-01,6.3100,6.3200,6.2000,6.2400,2951801,19.408341,4.403126
1999-04-02,6.2400,6.4200,6.1700,6.3300,4146296,19.688269,4.466633
1999-04-05,6.3600,6.5900,6.3200,6.5000,5893783,20.217022,4.586590
1999-04-06,6.5100,6.5600,6.4000,6.4500,3529930,20.061506,4.551308
1999-04-07,6.4500,6.5200,6.3700,6.4200,3295450,19.968197,4.530139
1999-04-08,6.4200,6.5800,6.3600,6.4100,4093405,19.937094,4.523083
1999-04-09,6.4100,6.4800,6.3000,6.3400,3771578,19.719372,4.473689
1999-04-12,6.3800,6.5500,6.2600,6.4300,6142334,19.999300,4.537195
1999-04-13,6.4300,6.9800,6.4200,6.6600,19159138,20.714672,4.699490
1999-04-14,6.6700,6.7400,6.5600,6.6200,4653454,20.590259,4.671265
1999-04-15,6.6800,7.0000,6.6300,6.8600,17080811,21.336734,4.840616
1999-04-16,6.9000,7.0500,6.8000,6.9400,14930224,21.585559,4.897066
1999-04-19,6.9500,6.9700,6.6000,6.6800,9103447,20.776878,4.713603
1999-04-20,6.6700,6.7800,6.5800,6.7600,5309815,21.025703,4.770053
1999-04-21,6.7600,6.7800,6.4400,6.4800,5455051,20.154816,4.572477
1999-04-22,6.4000,6.5200,6.2900,6.3800,5061130,19.843785,4.501914
1999-04-23,6.4000,6.5000,6.3500,6.4400,2727674,20.030403,4.544252
1999-04-26,6.4400,6.4400,6.2000,6.2100,3934600,19.315032,4.381957
1999-04-27,6.2000,6.5400,6.1500,6.2900,2820803,19.563857,4.438407
1999-04-28,6.2900,6.4600,6.2100,6.2800,1898300,19.532754,4.431351
1999-04-29,6.2800,6.4300,6.2200,6.3600,1595449,19.781578,4.487801
