date,open,high,low,close,volume,peTTM,pbMRQ
2001-03-09,6.8000,6.8000,6.3600,6.4000,184839687,31.782399,5.712358
2001-03-12,6.3800,6.4300,6.3100,6.3700,21713538,31.633419,5.685581
2001-03-13,6.4000,6.5600,6.4000,6.5100,27308195,32.328659,5.810539
2001-03-14,6.5100,6.5600,6.5000,6.5300,12919592,32.427979,5.828390
2001-03-15,6.5300,6.6500,6.4800,6.5900,23845329,32.725939,5.881943
2001-03-16,6.6000,6.6200,6.5500,6.5500,10281130,32.527299,5.846241
2001-03-19,6.5500,6.6200,6.5000,6.6000,9999084,32.775599,5.890869
2001-03-20,6.6000,6.6200,6.5700,6.5900,7529002,32.725939,5.881943
2001-03-21,6.6000,6.6100,6.5600,6.5900,7896110,32.725939,5.881943
2001-03-22,6.6000,6.7400,6.6000,6.6700,16154466,33.123219,5.953348
2001-03-23,6.6900,6.7000,6.5900,6.5900,14238400,32.725939,5.881943
2001-03-26,6.5800,6.6700,6.5600,6.6600,9897268,33.073559,5.944422
2001-03-27,6.6700,6.6800,6.6400,6.6600,8546178,33.073559,5.944422
2001-03-28,6.6600,6.6700,6.6300,6.6300,6719764,32.924579,5.917646
2001-03-29,6.6300,6.6400,6.5900,6.6200,9168179,32.874919,5.908720
2001-03-30,6.6200,6.6400,6.5800,6.6200,5839918,32.874919,5.908720
2001-04-02,6.6200,6.7900,6.6200,6.7000,12615109,33.272199,5.980124
2001-04-03,6.7000,6.7500,6.6700,6.7200,6350339,33.371519,5.997976
2001-04-04,6.7200,6.7300,6.6200,6.6500,6367558,33.023899,5.935497
2001-04-05,6.6400,6.6800,6.6100,6.6600,7237266,33.073559,5.944422
2001-04-06,6.6600,6.7300,6.6600,6.6900,6166062,33.222539,5.971199
2001-04-09,6.6900,6.7100,6.6700,6.7000,3457625,33.272199,5.980124
2001-04-10,6.7000,6.7500,6.6700,6.7200,5114151,33.371519,5.997976
2001-04-11,6.8200,6.8400,6.7500,6.7900,9829029,29.379531,5.425527
2001-04-12,6.8000,6.8100,6.7300,6.7800,8334035,29.336262,5.417537
2001-04-13,6.7800,6.8200,6.7100,6.8100,9512021,29.466069,5.441508
2001-04-16,6.8100,6.8400,6.8000,6.8200,7210030,29.509337,5.449499
2001-04-17,6.8300,6.8400,6.7200,6.7800,7887263,29.336262,5.417537
2001-04-18,6.7800,6.8000,6.7400,6.7800,4535897,29.336262,5.417537
2001-04-19,6.7700,6.8100,6.7000,6.8000,7167330,29.422800,5.433518
2001-04-20,6.8000,6.8100,6.7300,6.7300,4887040,29.119918,5.377584
2001-04-23,6.7100,6.7300,6.6400,6.6600,5557710,28.817036,5.321651
2001-04-24,6.6600,6.6800,6.6400,6.6700,3287118,28.860305,5.329641
2001-04-25,6.6700,6.6700,6.5400,6.5500,7096300,28.341079,5.233756
2001-04-26,6.5400,6.6100,6.5300,6.5600,4171971,28.384348,5.241746
2001-04-27,6.5600,6.6200,6.5500,6.5800,3307380,28.470886,5.257727
2001-04-30,6.5800,6.6700,6.5800,6.6600,3930440,28.817036,5.321651
2001-05-08,6.6800,6.6900,6.6000,6.6000,1651900,28.557423,5.273708
2001-05-09,6.6000,6.6400,6.5700,6.6000,1662851,28.557423,5.273708
2001-05-10,6.6000,6.6300,6.5800,6.5900,1634478,28.514154,5.265718
2001-05-11,6.5900,6.5900,6.5900,6.5900,0,28.514154,5.265718
2001-05-14,6.5900,6.6500,6.5500,6.6200,3207854,28.643961,5.289689
2001-05-15,6.6300,6.6800,6.6200,6.6700,2391776,28.860305,5.329641
2001-05-16,6.6700,6.6700,6.6100,6.6300,1555886,28.687230,5.297680
2001-05-17,6.6200,6.8300,6.6000,6.7800,16651391,29.336262,5.417537
2001-05-18,6.8000,6.9500,6.7300,6.9400,16695087,30.028563,5.545384
2001-05-21,7.0900,7.3200,7.0500,7.2000,66357336,31.153553,5.753136
2001-05-22,7.2100,7.2300,7.1300,7.2100,14142424,31.196821,5.761127
2001-05-23,7.2100,7.2100,7.0400,7.1000,11086904,30.720864,5.673232
2001-05-24,7.1000,7.1100,7.0100,7.0600,5553514,30.547789,5.641270
2001-05-25,7.0600,7.1400,7.0600,7.1000,4271744,30.720864,5.673232
2001-05-28,7.1000,7.1000,6.9000,6.9400,6254440,30.028563,5.545384
2001-05-29,6.9200,7.0000,6.8900,6.9200,4973155,29.942026,5.529403
2001-05-30,6.9200,7.0000,6.9000,7.0000,3395036,30.288176,5.593327
2001-05-31,7.0100,7.0700,6.9700,6.9700,2855700,30.158370,5.569356
2001-06-01,7.0000,7.0400,6.9500,7.0000,3253597,30.288176,5.593327
2001-06-04,7.0000,7.0000,6.9100,6.9400,4051129,30.028563,5.545384
2001-06-05,6.9300,7.1500,6.9200,7.0700,3957785,30.591058,5.649260
2001-06-06,7.0700,7.1600,7.0600,7.0900,2687316,30.677596,5.665241
2001-06-07,7.1000,7.1000,7.0000,7.0100,2065937,30.331445,5.601317
2001-06-08,7.0100,7.0200,6.9400,7.0000,2093478,30.288176,5.593327
2001-06-11,7.0000,7.1400,7.0000,7.0700,2681348,30.591058,5.649260
2001-06-12,7.0700,7.1000,7.0300,7.0600,1614491,30.547789,5.641270
2001-06-13,7.0600,7.1400,7.0500,7.0800,3002900,30.634327,5.657251
2001-06-14,7.0800,7.1300,6.9600,6.9900,3970590,30.244907,5.585336
2001-06-15,6.9700,7.0900,6.9600,7.0100,2821101,30.331445,5.601317
2001-06-18,7.0300,7.2300,7.0200,7.1300,8901003,30.850671,5.697203
2001-06-19,7.1500,7.2400,7.1400,7.1800,5151630,31.067015,5.737155
2001-06-20,7.2000,7.2100,7.1100,7.1200,2883955,30.807402,5.689213
2001-06-21,7.1200,7.2500,7.1200,7.2100,5205399,31.196821,5.761127
2001-06-22,7.1500,7.2800,7.1000,7.2300,5679582,31.283359,5.777108
2001-06-25,7.2500,7.4000,7.2300,7.2800,9539750,31.499703,5.817060
2001-06-26,7.3000,7.3200,7.2400,7.2800,4682928,31.499703,5.817060
2001-06-27,7.2800,7.2900,7.1500,7.1900,4419123,31.110284,5.745146
2001-06-28,7.1900,7.2700,7.1400,7.2200,2973774,31.240090,5.769117
2001-06-29,7.2200,7.2400,7.1200,7.1600,2168900,30.980477,5.721174
2001-07-02,7.1600,7.1600,7.0800,7.0900,2957675,30.677596,5.665241
2001-07-03,7.1000,7.1600,7.0700,7.1200,1783529,30.807402,5.689213
2001-07-04,7.1200,7.1500,7.0700,7.0700,1238830,30.591058,5.649260
2001-07-05,7.0600,7.0800,6.9600,6.9800,3678117,30.201639,5.577346
2001-07-06,6.9800,7.0200,6.9100,6.9600,1998555,30.115101,5.561365
2001-07-09,6.9600,7.0700,6.9000,7.0000,8784000,30.288176,5.593327
2001-07-10,7.0000,7.0400,6.9900,7.0000,2222363,30.288176,5.593327
2001-07-11,7.0000,7.0300,6.9400,6.9500,2486381,30.071832,5.553375
2001-07-12,6.9500,6.9500,6.9000,6.9100,1717888,29.898757,5.521413
2001-07-13,6.9500,6.9500,6.9000,6.9300,1124830,29.985294,5.537394
2001-07-16,6.9400,6.9500,6.8000,6.8100,2883324,29.466069,5.441508
2001-07-17,6.8100,6.8100,6.7100,6.7800,1444610,29.336262,5.417537
2001-07-18,6.7800,6.8000,6.7300,6.7600,973495,29.249724,5.401556
2001-07-19,6.7400,6.8100,6.6900,6.8000,1415600,29.422800,5.433518
2001-07-20,6.8500,6.9800,6.8200,6.9500,1759116,30.071832,5.553375
2001-07-23,7.0000,7.0300,6.9100,6.9700,2128604,30.158370,5.569356
2001-07-24,6.9500,6.9500,6.8000,6.8200,1753334,29.509337,5.449499
2001-07-25,6.8000,6.8500,6.7500,6.7700,1262480,29.292993,5.409546
2001-07-26,6.7800,6.8000,6.7200,6.7500,1205550,29.206456,5.393565
2001-07-27,6.7500,6.7800,6.7100,6.7200,1033445,29.076649,5.369594
2001-07-30,6.6800,6.6800,6.4800,6.4900,4719600,28.081466,5.185813
2001-07-31,6.4500,6.5500,6.3500,6.3600,2551945,27.518972,5.081937
2001-08-01,6.3700,6.5700,6.3700,6.5500,2553430,28.341079,5.233756
2001-08-02,6.5600,6.5700,6.3500,6.5000,1517126,28.124735,5.193804
2001-08-03,6.5000,6.5700,6.4500,6.5200,813826,28.211273,5.209784
2001-08-06,6.5100,6.5100,6.2800,6.3700,3286556,27.562240,5.089927
2001-08-07,6.3600,6.5000,6.3400,6.4700,1344254,27.994929,5.169832
2001-08-08,6.4700,6.4800,6.3700,6.4100,798090,27.735316,5.121889
2001-08-09,6.4100,6.5200,6.4000,6.5200,835226,28.211273,5.209784
2001-08-10,6.5700,6.6000,6.5300,6.5900,1272671,28.514154,5.265718
2001-08-13,6.5900,6.5900,6.5100,6.5800,878185,28.470886,5.257727
2001-08-14,6.5500,6.6300,6.4300,6.6100,1255100,26.125784,2.350440
2001-08-15,6.6000,6.6000,6.4900,6.5600,900495,25.928161,2.332661
2001-08-16,6.5600,6.5700,6.4500,6.4500,1015100,25.493390,2.293546
2001-08-17,6.4200,6.5000,6.4100,6.4700,690584,25.572439,2.300658
2001-08-20,6.4500,6.5000,6.4300,6.4500,533701,25.493390,2.293546
2001-08-21,6.4600,6.5000,6.4000,6.4500,681600,25.493390,2.293546
2001-08-22,6.4500,6.4500,6.2800,6.3300,2034000,25.019094,2.250875
2001-08-23,6.3000,6.3000,6.1500,6.2600,1867434,24.742422,2.225984
2001-08-24,6.2500,6.3000,6.1500,6.2000,1346900,24.505274,2.204649
2001-08-27,6.1500,6.1500,5.8300,5.8500,3338312,23.121912,2.080193
2001-08-28,5.7800,6.0000,5.7500,5.9900,2831300,23.675256,2.129975
2001-08-29,6.0000,6.0100,5.8600,5.8800,1087624,23.240485,2.090861
2001-08-30,5.8800,5.9900,5.8200,5.9600,795819,23.556683,2.119308
2001-08-31,5.9600,6.0100,5.9200,6.0100,616230,23.754306,2.137087
2001-09-03,6.0000,6.0000,5.9400,5.9700,547294,23.596207,2.122864
2001-09-04,5.9000,6.0400,5.9000,6.0300,734510,23.833355,2.144199
2001-09-05,6.0500,6.1000,6.0000,6.0400,875653,23.872880,2.147755
2001-09-06,6.0100,6.0400,5.9800,5.9800,777449,23.635732,2.126419
2001-09-07,5.9800,5.9800,5.8200,5.8300,1198600,23.042862,2.073081
2001-09-10,5.8000,5.9800,5.6800,5.9500,887999,23.517158,2.115752
2001-09-11,5.9600,5.9600,5.8600,5.9400,841322,23.477633,2.112196
2001-09-12,5.8500,5.8700,5.4000,5.8200,1624835,23.003338,2.069525
2001-09-13,5.8000,5.9200,5.7800,5.8000,542650,22.924288,2.062413
2001-09-14,5.8300,5.8700,5.6300,5.8200,1903700,23.003338,2.069525
2001-09-17,5.8000,5.8400,5.6900,5.8300,1860874,23.042862,2.073081
2001-09-18,5.8100,5.8800,5.8000,5.8800,1117000,23.240485,2.090861
2001-09-19,5.8500,6.0000,5.8500,6.0000,812723,23.714781,2.133531
2001-09-20,6.0000,6.0500,5.9000,5.9000,1150005,23.319535,2.097972
2001-09-21,5.9000,6.0600,5.9000,5.9200,921660,23.398584,2.105084
2001-09-24,5.9000,5.9500,5.8100,5.8500,415109,23.121912,2.080193
2001-09-25,5.8500,5.9000,5.7800,5.8100,613720,22.963813,2.065969
2001-09-26,5.8000,5.8500,5.7400,5.8100,1427586,22.963813,2.065969
2001-09-27,5.8000,6.0300,5.7500,5.9400,1987834,23.477633,2.112196
2001-09-28,5.9400,6.0000,5.8400,5.9800,855915,23.635732,2.126419
2001-10-08,6.0000,6.0500,5.8400,5.9000,603950,23.319535,2.097972
2001-10-09,5.9000,6.0000,5.8600,5.9700,530094,23.596207,2.122864
2001-10-10,5.9600,5.9700,5.7500,5.7800,944685,22.845239,2.055302
2001-10-11,5.8000,5.8500,5.6200,5.6400,1046640,22.291894,2.005519
2001-10-12,5.6200,5.9000,5.4000,5.8100,1574019,22.963813,2.065969
2001-10-15,5.8100,5.8500,5.7000,5.8500,581500,23.121912,2.080193
2001-10-16,5.8400,5.8400,5.5900,5.7500,1477779,22.726665,2.044634
2001-10-17,5.6800,5.7200,5.5900,5.6100,692400,22.173320,1.994852
2001-10-18,5.6000,5.7000,5.5500,5.6100,727905,22.173320,1.994852
2001-10-19,5.6000,5.6000,5.3400,5.3600,1662950,21.185204,1.905955
2001-10-22,5.2500,5.3200,5.0000,5.0300,1954455,19.880891,1.788610
2001-10-23,5.5300,5.5300,5.3300,5.5300,4063385,21.857123,1.966405
2001-10-24,5.9100,5.9400,5.5500,5.7000,8827654,22.529042,2.026855
2001-10-25,5.6700,5.8000,5.5700,5.6000,2546111,22.133796,1.991296
2001-10-26,5.4500,5.5900,5.4500,5.5700,748530,25.417192,1.944889
2001-10-29,5.6000,5.6400,5.5600,5.6200,905142,25.645353,1.962347
2001-10-30,5.6100,5.6500,5.5000,5.5300,741500,25.234663,1.930922
2001-10-31,5.5000,5.5200,5.4100,5.4900,789955,25.052133,1.916955
2001-11-01,5.4800,5.6300,5.4800,5.5900,2052212,25.508456,1.951872
2001-11-02,5.5900,5.7200,5.5000,5.5000,1422965,25.097766,1.920447
2001-11-05,5.5000,5.5900,5.4900,5.5200,392696,25.189030,1.927430
2001-11-06,5.5000,5.5600,5.3000,5.5600,3081202,25.371560,1.941397
2001-11-07,5.4600,5.4700,5.2500,5.2600,1158500,24.002591,1.836646
2001-11-08,5.1800,5.3200,5.1300,5.2800,1199560,24.093855,1.843629
2001-11-09,5.3100,5.4400,5.2100,5.3600,839169,24.458914,1.871563
2001-11-12,5.3600,5.4500,5.3000,5.3200,740100,24.276384,1.857596
2001-11-13,5.2600,5.4300,5.2000,5.3500,1232502,24.413281,1.868071
2001-11-14,5.3500,5.4000,5.2900,5.2900,361850,24.139487,1.847121
2001-11-15,5.2900,5.3100,5.2600,5.3000,538099,24.185120,1.850612
2001-11-16,5.6500,5.7100,5.3700,5.3700,2579162,24.504546,1.875054
2001-11-19,5.3700,5.4500,5.3700,5.4300,531250,24.778340,1.896005
2001-11-20,5.4100,5.6500,5.4100,5.6100,7570469,25.599721,1.958856
2001-11-21,5.6000,5.9200,5.5000,5.8000,16512235,26.466735,2.025198
2001-11-22,5.8000,5.8800,5.7500,5.8000,4214263,26.466735,2.025198
2001-11-23,5.7600,5.8400,5.7300,5.8000,2303488,26.466735,2.025198
2001-11-26,5.8100,5.8600,5.7700,5.8400,1945717,26.649264,2.039165
2001-11-27,5.8500,5.8800,5.8000,5.8500,1319770,26.694896,2.042657
2001-11-28,5.8500,5.9800,5.8400,5.8400,2883702,26.649264,2.039165
2001-11-29,5.8400,5.8500,5.7700,5.7900,1580447,26.421103,2.021707
2001-11-30,5.8100,5.8500,5.7600,5.8400,1492440,26.649264,2.039165
2001-12-03,5.8400,5.9300,5.8000,5.8800,2278630,26.831793,2.053132
2001-12-04,5.8800,6.0700,5.8000,6.0700,23652681,27.698807,2.119475
2001-12-05,6.0200,6.0700,5.9200,5.9300,12149493,27.059955,2.070591
2001-12-06,5.9000,6.0100,5.8800,5.9600,3228463,27.196852,2.081066
2001-12-07,5.9600,6.0400,5.9100,5.9800,2704076,27.288116,2.088049
2001-12-10,5.9500,6.0200,5.9200,5.9300,2341237,27.059955,2.070591
2001-12-11,5.9500,6.0100,5.8700,5.8800,2361499,26.831793,2.053132
2001-12-12,5.8800,5.9200,5.8100,5.8500,1664460,26.694896,2.042657
2001-12-13,5.8000,5.8800,5.6600,5.6700,3720806,25.873515,1.979806
2001-12-14,5.6700,5.6900,5.5500,5.5900,2374485,25.508456,1.951872
2001-12-17,5.5800,5.6600,5.5400,5.6200,1170387,25.645353,1.962347
2001-12-18,5.6000,5.7600,5.6000,5.7200,7804927,26.101676,1.997265
2001-12-19,5.7400,5.7600,5.5400,5.6100,2897495,25.599721,1.958856
2001-12-20,5.6000,5.6700,5.4500,5.5700,10184444,25.417192,1.944889
2001-12-21,5.5900,5.6300,5.5300,5.6000,1741250,25.554089,1.955364
2001-12-24,5.6100,5.6200,5.3800,5.4500,1799700,24.869604,1.902988
